wavl,"AS(5.00,0.00)","AS(4.00,0.00)","AS(2.80,0.00)","S(2.80,0.00)","AS(0.00,2.00)","S(0.00,2.00)"
1.5404040404040404,-581.7849760559402,-581.7849760559402,-691.9800294934466,-691.9800294934466,-691.9800294934466,-691.9800294934466
1.5406060606060603,-581.6470312507863,-581.6470312507863,-688.9251330617517,-688.9251330617517,-688.9251330617517,-688.9251330617517
1.5408080808080808,-581.5091355853183,-581.5091355853183,-685.9038439346714,-685.9038439346714,-685.9038439346714,-685.9038439346714
1.541010101010101,-581.3712889055842,-581.3712889055842,-682.9156425067958,-682.9156425067958,-682.9156425067958,-682.9156425067958
1.5412121212121213,-581.2334910576228,-581.2334910576228,-679.9600091727079,-679.9600091727079,-679.9600091727079,-679.9600091727079
1.5414141414141411,-581.0957418874732,-581.0957418874732,-677.0364243269923,-677.0364243269923,-677.0364243269923,-677.0364243269923
1.5416161616161617,-580.9580412411851,-580.9580412411851,-674.1443683642374,-674.1443683642374,-674.1443683642374,-674.1443683642374
1.5418181818181818,-580.8203889648048,-580.8203889648048,-671.283321679035,-671.283321679035,-671.283321679035,-671.283321679035
1.542020202020202,-580.682784904362,-580.682784904362,-668.4527646659644,-668.4527646659644,-668.4527646659644,-668.4527646659644
1.5422222222222222,-580.5452289059067,-580.5452289059067,-665.6521777196122,-665.6521777196122,-665.6521777196122,-665.6521777196122
1.5424242424242425,-580.4077208154831,-580.4077208154831,-662.8810412345665,-662.8810412345665,-662.8810412345665,-662.8810412345665
1.5426262626262626,-580.270260479132,-580.270260479132,-660.138835605414,-660.138835605414,-660.138835605414,-660.138835605414
1.5428282828282829,-580.1328477428997,-580.1328477428997,-657.4250412267393,-657.4250412267393,-657.4250412267393,-657.4250412267393
1.543030303030303,-579.9954824528195,-579.9954824528195,-654.7391384931307,-654.7391384931307,-654.7391384931307,-654.7391384931307
1.5432323232323233,-579.8581644549431,-579.8581644549431,-652.080607799171,-652.080607799171,-652.080607799171,-652.080607799171
1.5434343434343434,-579.7208935953113,-579.7208935953113,-649.4489295394487,-649.4489295394487,-649.4489295394487,-649.4489295394487
1.5436363636363637,-579.5836697199684,-579.5836697199684,-646.8435841085484,-646.8435841085484,-646.8435841085484,-646.8435841085484
1.5438383838383838,-579.4464926749515,-579.4464926749515,-644.2640519010583,-644.2640519010583,-644.2640519010583,-644.2640519010583
1.544040404040404,-579.3093623063123,-579.3093623063123,-641.7098133115633,-641.7098133115633,-641.7098133115633,-641.7098133115633
1.5442424242424242,-579.1722784600843,-579.1722784600843,-639.1803487346533,-639.1803487346533,-639.1803487346533,-639.1803487346533
1.5444444444444445,-579.0352409823172,-579.0352409823172,-636.6751385649059,-636.6751385649059,-636.6751385649059,-636.6751385649059
1.5446464646464646,-578.8982497190482,-578.8982497190482,-634.1936631969129,-634.1936631969129,-634.1936631969129,-634.1936631969129
1.544848484848485,-578.7613045163271,-578.7613045163271,-631.7354030252609,-631.7354030252609,-631.7354030252609,-631.7354030252609
1.545050505050505,-578.6244052201964,-578.6244052201964,-629.2998384445418,-629.2998384445418,-629.2998384445418,-629.2998384445418
1.545252525252525,-578.4875516766915,-578.4875516766915,-626.8864498493258,-626.8864498493258,-626.8864498493258,-626.8864498493258
1.5454545454545454,-578.3507437318585,-578.3507437318585,-624.4947176342157,-624.4947176342157,-624.4947176342157,-624.4947176342157
1.5456565656565655,-578.2139812317419,-578.2139812317419,-622.1241221937889,-622.1241221937889,-622.1241221937889,-622.1241221937889
1.5458585858585858,-578.0772640223859,-578.0772640223859,-619.774143922632,-619.774143922632,-619.774143922632,-619.774143922632
1.546060606060606,-577.9405919498295,-577.9405919498295,-617.4442632153332,-617.4442632153332,-617.4442632153332,-617.4442632153332
1.5462626262626262,-577.8039648601152,-577.8039648601152,-615.1339604664736,-615.1339604664736,-615.1339604664736,-615.1339604664736
1.5464646464646463,-577.6673825992912,-577.6673825992912,-612.8427160706487,-612.8427160706487,-612.8427160706487,-612.8427160706487
1.5466666666666666,-577.5308450133925,-577.5308450133925,-610.5700104224416,-610.5700104224416,-610.5700104224416,-610.5700104224416
1.546868686868687,-577.3943519484692,-577.3943519484692,-608.3153239164349,-608.3153239164349,-608.3153239164349,-608.3153239164349
1.547070707070707,-577.2579032505582,-577.2579032505582,-606.0781369472188,-606.0781369472188,-606.0781369472188,-606.0781369472188
1.5472727272727274,-577.1214987657077,-577.1214987657077,-603.8579299093763,-603.8579299093763,-603.8579299093763,-603.8579299093763
1.5474747474747474,-576.9851383399582,-576.9851383399582,-601.6541831974937,-601.6541831974937,-601.6541831974937,-601.6541831974937
1.5476767676767678,-576.8488218193525,-576.8488218193525,-599.4663772061594,-599.4663772061594,-599.4663772061594,-599.4663772061594
