wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5053607214428857,-614.6747031570058,-616.3391808583033,-617.4865110603682,-618.5458219665738,-619.356853385355,-619.8933691530859,-620.3739587852706,-620.7329515784769,-620.9662927376014,-621.1726158288072,-621.3249409949128
1.5055410821643285,-609.4083623939101,-611.7118667430842,-613.3057142062975,-614.7813243891045,-615.9136927282092,-616.6641117584089,-617.3371741070113,-617.8405773525029,-618.168187972935,-618.4580911097568,-618.6723398810834
1.5057214428857717,-604.1383933107484,-607.0813832708185,-609.1220686932585,-611.014277150473,-612.4682132059727,-613.4326891247886,-614.2983624304743,-614.9462798534687,-615.3682276414331,-615.7417708484759,-616.017987701633
1.5059018036072145,-598.864794696046,-602.4477293310521,-604.9355734908112,-607.2446792827757,-609.0204139029156,-610.1991003740916,-611.2575229115077,-612.0500582549464,-612.566410927075,-613.0236542575507,-613.3618836710231
1.5060821643286573,-593.587565810827,-597.810904303355,-600.7462280557828,-603.472530321842,-605.5702944072805,-606.9633451423493,-608.214655214341,-609.1519122448556,-609.7627375451365,-610.303741056694,-610.704027531608
1.5062625250501,-588.3067056649832,-593.1709073075816,-596.5540315785598,-599.6978295349785,-602.1178540469093,-603.7254227858115,-605.1697587304436,-606.2518412426791,-606.957206931339,-607.5820306923088,-608.0444187383434
1.506442885771543,-583.02221314174,-588.5277373352508,-592.3589831257153,-595.920576056673,-598.6630920061981,-600.4853325238523,-602.122832719504,-603.3498445314211,-604.1498183783016,-604.8585224779449,-605.3830566115261
1.5066232464929858,-577.734087309546,-583.8813935672038,-588.1610819642357,-592.1407692189838,-595.2060076752122,-597.2430737916093,-599.0738766375263,-600.4459215963839,-601.3405713876754,-602.1332159276792,-602.7199406770676
1.5068036072144289,-572.4423271232001,-579.231875062234,-583.9603272271877,-588.3584082304355,-591.7466003200883,-593.9986458865942,-596.0228898180776,-597.5400717927121,-598.5294653328544,-599.4061104287122,-600.0550703338072
1.5069839679358716,-567.1469316961001,-574.5791810465331,-579.7567182148996,-584.5734924702338,-588.2848693703677,-590.7520482721795,-592.9698717689055,-594.6322946499425,-595.7164997607472,-596.6772055445024,-597.3884451553995
1.5071643286573144,-561.847900020514,-569.9233106282843,-575.5502541107408,-580.786021188008,-584.8208141339122,-587.5032803006127,-589.9148218613436,-591.7225895686158,-592.9016740876529,-593.9465007068399,-594.7200645806441
1.5073446893787574,-556.5452308972888,-565.2642627116484,-571.3409338971032,-576.9959934315182,-581.3544337138197,-584.2523411060589,-586.8577392660108,-588.8109557461979,-590.0849875252725,-591.2139951325089,-592.0499278451491
1.5075250501002002,-551.23892360037,-560.6020366763145,-567.1287570390798,-573.2034087425974,-577.8857277069662,-580.999230322345,-583.7986236587976,-585.8973928778714,-587.2664397865682,-588.47968855506,-589.3780346913499
1.5077054108216432,-545.9289770494547,-555.9366315600142,-562.9137226376633,-569.4082662993816,-574.4146953487954,-577.7439472250294,-580.7374743374855,-582.9819002865637,-584.4460302104956,-585.7435803361576,-586.704384480877
1.507885771543086,-540.6153901258826,-551.268046352296,-558.6958297631891,-565.610565238995,-570.9413358247015,-574.4864910338914,-577.6742905574702,-580.0644772577464,-581.6237580989879,-583.005669778086,-584.0289765380801
1.508066132264529,-535.2981620296526,-546.5962803621055,-554.4750778095093,-561.8103050236518,-567.4656486561576,-571.2268613089724,-574.6090719166394,-577.1451234102252,-578.7996230870134,-580.2659565353798,-581.3518105279574
1.5082464929859718,-529.9772916379641,-541.9213325816748,-550.2514658353587,-558.0074847846805,-563.9876330359011,-567.9650572779703,-571.5418176713941,-574.2238380236681,-575.9736244706538,-577.524439924044,-578.6728857674317
1.5084268537074148,-524.6527779998764,-537.2432021591491,-546.0249930714756,-554.2021038285601,-560.5072883170977,-564.7010783331389,-568.4725272483512,-571.3006205523187,-573.1457617199452,-574.7811194206238,-575.9922017527442
1.5086072144288576,-519.3246201210075,-532.5618882132545,-541.7956587113188,-550.3941614214583,-557.0246138232911,-561.4349238327428,-565.4012000394367,-568.3754704134677,-570.3160342662657,-572.0359944740586,-573.3097579440109
1.5087875751503006,-513.9928170466451,-527.8773899086665,-537.5634619958228,-546.5836568710149,-553.5396089228133,-558.1665931791747,-562.3278354789566,-565.4483870665333,-567.4844415881165,-569.2890645789531,-570.6255538408014
1.5089679358717434,-508.6573677326594,-523.1897063019173,-533.3284020616538,-542.7705893863993,-550.0522728725198,-554.896085671573,-559.2524328983874,-562.5193698662928,-564.650983057145,-566.5403291194624,-567.9395888398285
1.5091482965931862,-503.318271077165,-518.4988363985042,-529.0904779869506,-538.9549581170313,-546.5626048785425,-551.6234005503258,-556.1749915751377,-559.5884181130575,-561.8156579881564,-563.7897874235699,-565.2518622806107
1.5093286573146292,-497.9755263574701,-513.8047795958826,-524.8496892504776,-535.1367626140834,-543.0706045532996,-548.3485374652479,-553.0955111913455,-556.6555315163206,-558.9784661072164,-561.0374392319468,-562.5623739145867
1.509509018036072,-492.6291324607681,-509.1075348888348,-520.6060349214447,-531.3160020210058,-539.5762710898961,-545.0714956486875,-550.0139910071044,-553.7207093618016,-556.1394067151903,-558.2832838636347,-559.8711230711073
1.509689378757515,-487.28400183603935,-504.4114573479321,-516.363496372976,-527.4963206997471,-536.082996054719,-541.7955018234513,-546.9335117191107,-550.7869242212274,-553.3013825754502,-555.5301629447077,-557.1809068906337
