wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5053607214428857,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887,-606.5933150439887
1.5055410821643285,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029,-606.4604663250029
1.5057214428857717,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704,-606.3276780732704
1.5059018036072145,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351,-606.1949501792351
1.5060821643286573,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394,-606.0622825333394
1.5062625250501,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237,-605.9296750260237
1.506442885771543,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339,-605.7971275477339
1.5066232464929858,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069,-605.6646399889069
1.5068036072144289,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939,-605.5322122399939
1.5069839679358716,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337,-605.3998441914337
1.5071643286573144,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648,-605.2675357336648
1.5073446893787574,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331,-605.1352867571331
1.5075250501002002,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865,-605.0030971522865
1.5077054108216432,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598,-604.8709668095598
1.507885771543086,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972,-604.7388956193972
1.508066132264529,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428,-604.6068834722428
1.5082464929859718,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442,-604.4749302585442
1.5084268537074148,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347,-604.3430358687347
1.5086072144288576,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637,-604.2112001932637
1.5087875751503006,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718,-604.0794231225718
1.5089679358717434,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994,-603.9477045470994
1.5091482965931862,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296,-603.816044357296
1.5093286573146292,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949,-603.6844424435949
1.509509018036072,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473,-603.5528986964473
1.509689378757515,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937,-603.4214130062937
1.5098697394789578,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571,-603.289985263571
1.5100501002004008,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725,-603.158615358725
1.5102304609218435,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053,-603.0273031822053
1.5104108216432863,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432,-602.8960486244432
1.5105911823647291,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901,-602.7648515758901
