wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.4030150753768844,-1017.0193363783904,-911.5978464672392,-801.7545022959246,-731.5557110362947,-686.0409483295142,-658.7957461707541
1.4045226130653266,-1080.1308390012418,-993.6065030353848,-873.6872208627397,-785.1791916732309,-721.673617868017,-679.5041307238406
1.4060301507537687,-1143.6632281797251,-1076.1579529562205,-946.0988763943036,-839.164682636903,-757.5532429667362,-700.3639546776216
1.407537688442211,-1207.4418774085416,-1159.031818087058,-1018.7986971043364,-893.3708113368532,-793.5860590543134,-721.3204635288658
1.4090452261306532,-1262.8897127134464,-1231.4016310823397,-1082.414279629069,-940.8523940678072,-825.1663353676563,-739.6850042696562
1.4105527638190951,-1289.7656149967186,-1267.7178449649912,-1114.8275336803383,-965.2193847805768,-841.4249545199084,-749.1126188626874
1.4120603015075377,-1283.5837657715983,-1262.3182282649736,-1111.136705760316,-962.8394594661182,-839.9531178382041,-748.1971320259928
1.4135678391959798,-1263.580875616391,-1239.4845937805994,-1092.362432447391,-949.2894122782563,-831.0806065666599,-742.9686224733431
1.415075376884422,-1242.546265644176,-1215.3604602928035,-1072.4800751397534,-934.9253180200908,-821.6750674522899,-737.4361185650339
1.4165829145728643,-1221.385631309743,-1191.089098864108,-1052.479365465332,-920.4805856861184,-812.2228497508903,-731.8835121585358
1.4180904522613065,-1200.4843111201524,-1167.1433777607708,-1032.7618337331094,-906.2474898736692,-802.9130750493357,-726.4165133122862
1.4195979899497486,-1183.7888163469313,-1148.3659476427674,-1017.4395422434038,-895.2193048515819,-795.6827536633152,-722.1180336879589
1.4211055276381908,-1176.4276637770624,-1141.0498540814287,-1011.8561333629405,-891.2858063401087,-793.0490458510553,-720.3953325060494
1.4226130653266331,-1176.460453508967,-1142.8141383795626,-1013.9898551263072,-892.9752941942653,-794.0595582304487,-720.7159268745215
1.4241206030150753,-1178.4660046349848,-1147.0067051713866,-1018.1921869976808,-896.1760423212885,-796.0534663990833,-721.5921921261086
1.4256281407035174,-1180.5124538454536,-1151.2570707074738,-1022.450271648534,-899.4228252233167,-798.0825668924683,-722.4939878412017
1.4271356783919598,-1182.5808997847898,-1155.5421185231694,-1026.7445081182502,-902.7013833839588,-800.1376329276093,-723.4161513185807
1.428643216080402,-1184.300014418332,-1159.4634430382853,-1030.7716891099226,-905.8163950893852,-802.1162085016265,-724.326587677953
1.430150753768844,-1184.191166680466,-1161.434506797013,-1033.324375589334,-907.9900792419631,-803.6103655733564,-725.0976008830502
1.4316582914572864,-1181.3021851842743,-1160.4336615556265,-1033.6250393132575,-908.7215810977966,-804.3574107051447,-725.6469478193164
1.4331658291457283,-1176.8867992190533,-1157.8061820093171,-1032.697506717118,-908.6703855198856,-804.7031929783993,-726.0828360859226
1.434673366834171,-1172.247063035327,-1154.9491953586462,-1031.6050667791158,-908.5213970862504,-805.0068928980302,-726.5176455106907
1.436180904522613,-1167.586667499696,-1152.081289113014,-1030.5140768502342,-908.381763379018,-805.3246851136553,-726.9689265875388
1.4376884422110552,-1162.920599712406,-1149.200743101114,-1029.4109828026133,-908.233114078791,-805.6368120928234,-727.4174647649272
1.439195979899497,-1158.6735632174086,-1146.262131994598,-1027.9170053552516,-907.5608102221642,-805.3893385349029,-727.3244223953275
1.4407035175879397,-1155.6912769518628,-1143.1751200509073,-1025.2780681531035,-905.3402584521468,-803.4794201701401,-725.6170089281597
1.4422110552763818,-1154.0283260583758,-1139.9337631122298,-1021.4453190067997,-901.5051253596698,-799.8356725607689,-722.225789577489
1.443718592964824,-1152.8575005970065,-1136.626179598415,-1017.155946185096,-897.0571508363181,-795.5363729184639,-718.1996664992004
1.4452261306532663,-1151.7104236445066,-1133.3022105852504,-1012.8272708276068,-892.56343868904,-791.1919612279559,-714.1324517390068
1.4467336683417085,-1150.564407682384,-1129.964154714151,-1008.4793223011216,-888.0512519072574,-786.83179912013,-710.0527115598073
1.4482412060301506,-1149.385652859201,-1126.696877207763,-1004.2638790741282,-883.688946315885,-782.6191977408104,-706.1086143450805
1.449748743718593,-1147.915440531132,-1124.1520609859142,-1001.3459292035908,-880.7686425134318,-779.8075384831563,-703.4373425016252
1.451256281407035,-1145.8686537149588,-1123.047915294812,-1001.0093791970514,-880.7143552404443,-779.7781422161264,-703.2921571351255
1.4527638190954772,-1143.4077590837978,-1122.9746941597364,-1002.5218700451384,-882.713831201456,-781.7431131649444,-704.9582024523987
1.4542713567839196,-1140.8467795710385,-1123.140714795239,-1004.4683153442284,-885.1975946641182,-784.1800373765842,-707.054198859214
1.4557788944723618,-1138.2773344454292,-1123.314773556842,-1006.4355077499026,-887.7073678830469,-786.6443811544655,-709.1768208692974
1.457286432160804,-1135.6977861614052,-1123.495006811752,-1008.421647260139,-890.2415528320339,-789.1347860962328,-711.324942710533
1.4587939698492465,-1132.7216914860642,-1123.443317242082,-1010.3113114542286,-892.7537211394326,-791.6464484105429,-713.517578247879
1.4603015075376884,-1128.1033542807431,-1122.3922159191657,-1011.73246502767,-895.094252073408,-794.1639380478055,-715.8160876838922
1.4618090452261303,-1121.2408803703738,-1119.9708647463644,-1012.505341903916,-897.1908425876989,-796.6797867666959,-718.2501028828914
1.463316582914573,-1113.248590870971,-1116.865797682456,-1012.9627177346638,-899.1772993286947,-799.2077505551836,-720.7646759288408
1.464824120603015,-1105.097587200799,-1113.675310036671,-1013.3945961012186,-901.1702289042094,-801.7598142317925,-723.3119171568533
1.4663316582914572,-1096.903783537147,-1110.470810399488,-1013.8355818979766,-903.1835338115282,-804.3373866067158,-725.8860828735733
1.467839195979899,-1088.7469673693272,-1107.2744207080211,-1014.2688038558324,-905.1841824582124,-806.9016962379953,-728.4483217302868
