wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.4030150753768844,-695.0846626193561,-695.0846626193561,-695.0846626193561,-695.0846626193561,-695.0846626193561,-695.0846626193561
1.4045226130653266,-693.5435277344768,-693.5435277344768,-693.5435277344768,-693.5435277344768,-693.5435277344768,-693.5435277344768
1.4060301507537687,-692.0109043154243,-692.0109043154243,-692.0109043154243,-692.0109043154243,-692.0109043154243,-692.0109043154243
1.407537688442211,-690.4867283857693,-690.4867283857693,-690.4867283857693,-690.4867283857693,-690.4867283857693,-690.4867283857693
1.4090452261306532,-688.9709359690842,-688.9709359690842,-688.9709359690842,-688.9709359690842,-688.9709359690842,-688.9709359690842
1.4105527638190951,-687.463463088925,-687.463463088925,-687.463463088925,-687.463463088925,-687.463463088925,-687.463463088925
1.4120603015075377,-685.9642457688697,-685.9642457688697,-685.9642457688697,-685.9642457688697,-685.9642457688697,-685.9642457688697
1.4135678391959798,-684.4732200324779,-684.4732200324779,-684.4732200324779,-684.4732200324779,-684.4732200324779,-684.4732200324779
1.415075376884422,-682.9903219033204,-682.9903219033204,-682.9903219033204,-682.9903219033204,-682.9903219033204,-682.9903219033204
1.4165829145728643,-681.5154874049604,-681.5154874049604,-681.5154874049604,-681.5154874049604,-681.5154874049604,-681.5154874049604
1.4180904522613065,-680.048652560974,-680.048652560974,-680.048652560974,-680.048652560974,-680.048652560974,-680.048652560974
1.4195979899497486,-678.5897533949155,-678.5897533949155,-678.5897533949155,-678.5897533949155,-678.5897533949155,-678.5897533949155
1.4211055276381908,-677.1387259303592,-677.1387259303592,-677.1387259303592,-677.1387259303592,-677.1387259303592,-677.1387259303592
1.4226130653266331,-675.6955061908757,-675.6955061908757,-675.6955061908757,-675.6955061908757,-675.6955061908757,-675.6955061908757
1.4241206030150753,-674.2600302000246,-674.2600302000246,-674.2600302000246,-674.2600302000246,-674.2600302000246,-674.2600302000246
1.4256281407035174,-672.8322339813749,-672.8322339813749,-672.8322339813749,-672.8322339813749,-672.8322339813749,-672.8322339813749
1.4271356783919598,-671.4120535585007,-671.4120535585007,-671.4120535585007,-671.4120535585007,-671.4120535585007,-671.4120535585007
1.428643216080402,-669.9994249549582,-669.9994249549582,-669.9994249549582,-669.9994249549582,-669.9994249549582,-669.9994249549582
1.430150753768844,-668.5942841943179,-668.5942841943179,-668.5942841943179,-668.5942841943179,-668.5942841943179,-668.5942841943179
1.4316582914572864,-667.196567300156,-667.196567300156,-667.196567300156,-667.196567300156,-667.196567300156,-667.196567300156
1.4331658291457283,-665.8062102960248,-665.8062102960248,-665.8062102960248,-665.8062102960248,-665.8062102960248,-665.8062102960248
1.434673366834171,-664.4231492054987,-664.4231492054987,-664.4231492054987,-664.4231492054987,-664.4231492054987,-664.4231492054987
1.436180904522613,-663.0473200521501,-663.0473200521501,-663.0473200521501,-663.0473200521501,-663.0473200521501,-663.0473200521501
1.4376884422110552,-661.6786588595369,-661.6786588595369,-661.6786588595369,-661.6786588595369,-661.6786588595369,-661.6786588595369
1.439195979899497,-660.3171016512297,-660.3171016512297,-660.3171016512297,-660.3171016512297,-660.3171016512297,-660.3171016512297
1.4407035175879397,-658.9625844507991,-658.9625844507991,-658.9625844507991,-658.9625844507991,-658.9625844507991,-658.9625844507991
1.4422110552763818,-657.6150432818067,-657.6150432818067,-657.6150432818067,-657.6150432818067,-657.6150432818067,-657.6150432818067
1.443718592964824,-656.2744141678195,-656.2744141678195,-656.2744141678195,-656.2744141678195,-656.2744141678195,-656.2744141678195
1.4452261306532663,-654.9406331324117,-654.9406331324117,-654.9406331324117,-654.9406331324117,-654.9406331324117,-654.9406331324117
