Bending Radius = 0.001000000000000000, gap_x = 2.000000000000000e-07, num of cells = 500X300
wavelength,modeidx,neff,ng,loss,polarization,beta_ang
1400,1,1.546836891353482-6.941225234735238e-18i,1.709732063716550-8.470743632633885e-19i,-2.705841021989440e-10,0.9997829662337760,6942.187734539672
1400,2,1.505384254396415+4.935417854573297e-17i,1.724594870853530-5.487468161532300e-15i,1.923933547745325e-09,0.9989032060042530,6756.148734916464
1420,1,1.544520739504434-1.234140753016305e-17i,1.707473028311419-5.649012889336262e-18i,-4.743190030219747e-10,0.9997744138512287,6834.161983865077
1420,2,1.502271204600380+2.378225986448545e-16i,1.721307329679563-1.971422235191709e-14i,9.140268450711496e-09,0.9988531424348164,6647.217155031048
1440,1,1.542246880605916-1.360468340526804e-17i,1.704447635243576-1.655106772921070e-17i,-5.156085649903390e-10,0.9997657271757630,6729.321486296280
1440,2,1.499214810710900+7.537006287393796e-16i,1.717212248972842-6.723661328179835e-14i,2.856475877021494e-08,0.9988018256456244,6541.558660392187
1460,1,1.540010838729163+2.727660056268706e-18i,1.702272190195532-3.873379156680159e-18i,1.019604077285460e-10,0.9997569146237192,6627.516078630403
1460,2,1.496212255044158+2.640902367509837e-15i,1.713771376740151-2.217277762405702e-13i,9.871739022014677e-08,0.9987492746877241,6439.026614599650
1480,1,1.537800980468686-2.294284991645403e-17i,1.700330019951755-7.338477668939734e-17i,-8.460184301554634e-10,0.9997479779013294,6528.573328275140
1480,2,1.493253045853681+8.322412431785911e-15i,1.710612285166758-7.046436447612499e-13i,3.068892629418398e-07,0.9986954732864908,6339.449728114197
1500,1,1.535624762097534+5.651065347993453e-19i,1.697343651293317-1.406983518970365e-16i,2.056047982617942e-11,0.9997389211257804,6432.409961701582
1500,2,1.490345323769039+2.610455076819875e-14i,1.706203094430047-2.169788477164725e-12i,9.497715145545134e-07,0.9986404256022420,6242.743893952952
1520,1,1.533479792401783+4.079009461486644e-19i,1.695210686077963-4.126731313435601e-16i,1.464553699039347e-11,0.9997297642575336,6338.906381891897
1520,2,1.487489734675711+7.931847675130530e-14i,1.702408316644102-6.522035878358158e-12i,2.847901423743021e-06,0.9985842029856683,6148.798450983480
1540,1,1.531356082429661+1.442021328398064e-17i,1.694444309652502-9.943695671619328e-16i,5.110285200524465e-10,0.9997204955336066,6247.918205962426
1540,2,1.484675806222017+2.341311107629599e-13i,1.700146935075390-1.899293555922189e-11i,8.297219512304091e-06,0.9985267251229553,6057.463124402067
1560,1,1.529255632890012+3.730624103310049e-17i,1.692339502223855-2.392349385821209e-15i,1.305121874776578e-09,0.9997111230438016,6159.356745830860
1560,2,1.481907004279988+6.739877438790629e-13i,1.696083303885739-5.425741047642788e-11i,2.357879334686679e-05,0.9984680099163566,5968.651484550345
1580,1,1.527183938388006+8.635376918161002e-17i,1.689347877140818-5.641147035538256e-15i,2.982760524974811e-09,0.9997016776770830,6073.151698126692
1580,2,1.479192861334914+1.900255640033333e-12i,1.691099397013543-1.517324659017876e-10i,6.563705978521706e-05,0.9984081866438658,5882.305603053458
1600,1,1.525149944674030+2.273561848078821e-16i,1.686382892691162-1.275954599384801e-14i,7.754985061289248e-09,0.9996921615859828,5989.249827263517
1600,2,1.476542643154238+5.250560794427978e-12i,1.685982142151172-4.166752718155982e-10i,0.0001790935248081641,0.9983472568496080,5798.369400556763
1620,1,1.523146898735695+4.079273414304457e-16i,1.684302440713464-2.826526657514304e-14i,1.374238070946339e-08,0.9996825904963184,5907.539638773006
1620,2,1.473952414373014+1.427836959199407e-11i,1.681417000635258-1.132006029934443e-09i,0.0004810140701908909,0.9982852796655101,5716.738366339750
1640,1,1.521175539243963+9.515467781991836e-16i,1.681343774857172-6.043131997617308e-14i,3.166507131095984e-08,0.9996729741934240,5827.943779157717
1640,2,1.471424681660823+3.831015342239326e-11i,1.675939355394494-3.033336661591960e-09i,0.001274865059550402,0.9982223008971766,5637.337768556515
1660,1,1.519240113632870+2.071098996769738e-15i,1.678857169620242-1.260687881656442e-13i,6.809056620863111e-08,0.9996633180783512,5750.401903648130
1660,2,1.468964791033982+1.016096633484976e-10i,1.670643580832182-8.075097258943162e-09i,0.003340574023964341,0.9981583643452959,5560.107223969183
1680,1,1.517305852118454+4.288460525582250e-15i,1.678350572224992-2.562548610226556e-13i,1.393112889402042e-07,0.9996536118631352,5674.710616981116
1680,2,1.466757769110146-1.122526718616247e-09i,1.558718651836119+4.309177943796106e-08i,-0.03646545027227812,0.0005672339391748569,5485.661228609748
1700,1,1.515403577634262+8.789895510614497e-15i,1.676516396703660-5.080506186683772e-13i,2.821817785275995e-07,0.9996438813549066,5600.918525552336
1700,2,1.465674736989124-1.780727651443409e-09i,1.557626898930962+6.678740059101906e-08i,-0.05716665177086361,0.0005640496756734154,5417.121160326098
