wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.4,0.0,0.0,6680.783195042726
1.41,0.0,0.0,6629.230084210139
1.42,0.0,0.0,6578.474523174219
1.43,0.0,0.0,6528.49976041806
1.44,0.0,0.0,6479.288099015957
1.45,0.0,0.0,6430.82236920855
1.46,0.0,0.0,6383.076445755631
1.47,0.0,0.0,6336.038322559715
1.48,0.0,0.0,6289.663174753952
1.49,0.0,0.0,6243.971640790014
1.5,0.0,0.0,6198.948865019408
1.51,0.0,0.0,6154.574155231567
1.52,0.0,0.0,6110.833998730958
1.53,0.0,0.0,6067.717732671596
1.54,0.0,0.0,6025.148022613013
1.55,0.0,0.0,5983.180936564255
1.56,0.0,0.0,5941.800432089544
1.57,0.0,0.0,5900.990059355121
1.58,0.0,0.0,5860.746200239803
1.59,0.0,0.0,5821.05725334523
1.6,0.0,0.0,5781.911930195733
1.61,0.0,0.0,5743.298194088776
1.62,0.0,0.0,5705.197252848976
1.63,0.0,0.0,5667.608387352902
1.64,0.0,0.0,5630.521437966007
1.65,0.0,0.0,5593.926510814598
1.66,0.0,0.0,5557.813969212827
1.67,0.0,0.0,5522.113628733508
1.68,0.0,0.0,5486.875389203162
1.69,0.0,0.0,5452.099761848661
1.7,0.0,0.0,5417.747926674851
