wavl,"AS(5.00,0.00)","S(5.00,0.00)","AS( double 5.00,0.00)","S( double 5.00,0.00)"
1.406060606060606,-635.0392778562008,-750.8964354928149,-577.1106990378938,-808.8250143111219
1.409090909090909,-632.0306575878418,-747.7776851930397,-574.157143785243,-805.6511989956385
1.412121212121212,-630.239748923784,-743.5086787730199,-573.6052839992193,-800.1431436976914
1.415151515151515,-629.4595669228336,-738.2953641180598,-575.0416683251947,-792.7132627156469
1.418181818181818,-628.8080784496909,-733.0187373082991,-576.7027490203334,-785.1240667375498
1.4212121212121211,-627.5831603006415,-728.3798844919856,-577.1847982049687,-778.7782465876571
1.424242424242424,-625.701597894401,-724.4609831946738,-576.321905244291,-773.8406758448366
1.4272727272727272,-623.6984893719388,-720.7258982200792,-575.184784948003,-769.239602644284
1.4303030303030302,-622.3111281901173,-716.436299055442,-575.24854275759,-763.4988844882394
1.4333333333333331,-621.8648030837096,-711.2658599104066,-577.1642746703623,-755.9663883237562
1.4363636363636365,-621.8174200468522,-705.7556377356406,-579.84831120235,-747.7247465799268
1.4393939393939392,-620.5139005503875,-701.5596740048193,-579.991013823007,-742.0825607318708
1.4424242424242424,-616.4313119328417,-700.1998643240681,-574.547035737147,-742.0841405195996
1.445454545454545,-610.3204246493483,-700.9244011824637,-565.0184363827913,-746.226389449022
1.4484848484848485,-604.7859943428211,-701.1274918814379,-556.6152455735393,-749.2982406507726
1.4515151515151514,-602.3005319249254,-698.3355884539403,-554.2830036604726,-746.3531167185024
1.4545454545454544,-602.9131026662052,-692.4985885737807,-558.1203597124457,-737.2913315275966
1.4575757575757575,-604.7682754404085,-685.4708863117286,-564.4169700047202,-725.8221917473604
1.4606060606060605,-607.0710832968243,-678.0464115631539,-571.5834191636313,-713.5340756962904
1.4636363636363636,-609.8991426769657,-670.1465108309578,-579.775458599969,-700.2701949079533
1.4666666666666666,-612.7961364469946,-662.2264641932904,-588.080972573818,-686.9416280664094
1.4696969696969695,-614.0320544900176,-656.0152447116851,-593.0404593791551,-677.00683982249
1.4727272727272729,-612.0609380925406,-653.0577740441087,-591.5625201167566,-673.5561920198927
1.4757575757575756,-607.9884444582497,-652.2473579313614,-585.8589877217513,-674.3768146679749
1.4787878787878788,-604.3405729705814,-651.0569599343115,-580.9823794887734,-674.4151534162337
1.4818181818181817,-602.8664371812691,-647.7364294456867,-580.4314410490603,-670.1714255778955
1.4848484848484849,-603.3791426338041,-642.4716238667808,-583.8329020173445,-662.017864483298
1.4878787878787878,-604.0299544538967,-637.1102410162387,-587.4898111728128,-653.6503842974968
1.4909090909090907,-602.7970061172863,-633.6731103625539,-587.3589539947112,-649.1111624852466
1.493939393939394,-599.1882226636296,-632.6512698105557,-582.4566990901089,-649.3827933839611
1.4969696969696968,-594.6978153131005,-632.5494710848317,-575.7719874271173,-651.4752989705796
1.5,-591.2490481200879,-631.443413075354,-571.1518656422766,-651.5405955528087
1.503030303030303,-589.7055368713696,-628.4684429400602,-570.3240838369048,-647.849895974286
1.506060606060606,-589.3581655148874,-624.3326396755476,-571.8709284346463,-641.8198767559664
1.509090909090909,-589.5684652663705,-619.6734350101974,-574.5159803947266,-634.7259198823804
1.512121212121212,-590.5626492704603,-614.2635787436193,-578.712184534182,-626.1140434805001
1.5151515151515151,-592.2205114956291,-608.2222398515624,-584.2196473177237,-616.2231040295903
1.518181818181818,-594.3967329625995,-601.693700258324,-590.7482493145566,-605.3421839060056
1.5212121212121212,-597.5628767859954,-594.2053597943664,-599.2416352816894,-592.5266012984312
1.5242424242424242,-601.8298282286534,-585.6452961407173,-609.9220942725608,-577.5530300966885
1.5272727272727271,-605.9705468003305,-577.2395127318547,-620.3360638344459,-562.8739956974944
1.5303030303030305,-607.1083890371378,-571.8636159765115,-624.7307755673274,-554.2412294460746
1.5333333333333332,-603.5924086351893,-571.167515123178,-619.8048553911949,-554.9550683671723
1.5363636363636364,-597.647001773755,-572.9257769369268,-610.0076141923553,-560.5651645186987
1.539393939393939,-592.6338462007756,-573.7756866134371,-602.0629259944443,-564.3466068197672
1.5424242424242425,-590.2778874195955,-571.991261594698,-599.4212003319186,-562.847948682124
1.5454545454545454,-589.8759922294761,-568.2745980264434,-600.6766893310548,-557.4739009249896
1.5484848484848484,-589.2778228451452,-564.7749966374026,-601.5292359490796,-552.5235835335944
1.5515151515151515,-586.7524793397115,-563.2223202991972,-598.5175588599686,-551.4572407789401
1.5545454545454545,-582.2731527009013,-563.6423409688365,-591.5885585669336,-554.3269351028042
1.5575757575757576,-577.9202536553125,-563.9536108640646,-584.9035750509365,-556.9702894684406
1.5606060606060606,-577.0981921289513,-560.7506830034878,-585.2719466917478,-552.5769284408209
1.5636363636363635,-581.1807142520004,-552.6587742008725,-595.4416842774995,-538.3978041752438
1.5666666666666669,-587.472771066744,-542.3718963587967,-610.0232084205238,-519.8214590046291
1.5696969696969696,-592.0802550525017,-533.7831199433456,-621.2288226072095,-504.6345523888971
1.5727272727272728,-592.9988275582682,-528.8957465486776,-625.0503680633227,-496.8442060441417
1.5757575757575757,-591.4625099722244,-526.4747177307189,-623.9564060929772,-493.9808216099661
1.5787878787878786,-589.7156987326136,-524.2745999968697,-622.4362481004214,-491.5540506289335
1.5818181818181818,-588.6994161048192,-521.3533340260888,-622.3724571441862,-487.6802929867253
