wavl,2,N
1.5010050251256282,-557.4894946622658,-504.38404312739385
1.501507537688442,-559.7607717330374,-509.3014958084566
1.5020100502512563,-562.037883562051,-514.2301253848665
1.5025125628140703,-564.3208313966983,-519.1699367159988
1.5030150753768845,-566.609616458541,-524.1209346095558
1.5035175879396985,-568.9042398543456,-529.0831236436507
1.504020100502513,-571.2047028865746,-534.0565087877987
1.5045226130653266,-573.5110067888044,-539.0410948737297
1.5050251256281406,-575.8231526811996,-544.0368865063627
1.5055276381909548,-578.1411418128292,-549.0438885484111
1.5060301507537688,-580.4649754028104,-554.062105802697
1.506532663316583,-582.7946545980565,-559.0915429276316
1.507035175879397,-585.1301806792837,-564.1322048492244
1.5075376884422111,-587.4715548748367,-569.1840963887577
1.5080402010050251,-589.8187782932133,-574.2472221277997
1.5085427135678393,-592.1718521807926,-579.3215869236976
1.5090452261306533,-594.5306651787066,-584.4069704233002
1.5095477386934673,-596.7455823840158,-589.2041051853055
1.5100502512562817,-598.22221233428,-592.5242106494244
1.5105527638190954,-598.5815760983829,-593.6093313180021
1.5110552763819096,-598.3333356329426,-593.4787934688584
1.5115577889447236,-598.0034040537626,-593.1844256981904
1.5120603015075378,-597.6739209158462,-592.8905094805749
1.5125628140703518,-597.3448838150188,-592.5970423722571
1.513065326633166,-597.0162904241478,-592.3040220835479
1.51356783919598,-596.6881382953956,-592.0114460833618
1.514070351758794,-596.3604250780254,-591.7193120348039
1.514572864321608,-596.033148403864,-591.42761756611
1.515075376884422,-595.7063058124304,-591.136360120905
1.5155778894472365,-595.3798949980859,-590.8455374524916
1.5160804020100502,-595.0539135605975,-590.5551471249923
1.5165829145728644,-594.7283590308361,-590.2651865647239
1.5170854271356784,-594.4032291330811,-589.9756535848351
1.5175879396984924,-594.0785214699133,-589.6865457550662
1.5180904522613066,-593.7542335262763,-589.3978604098908
1.5185929648241203,-593.4303630473648,-589.1095954042826
1.5190954773869347,-593.1073285214477,-588.82259007936
1.5195979899497487,-592.8748264612706,-588.7162398251933
1.520100502512563,-593.0212693237388,-589.3673719201885
1.5206030150753769,-593.6841467504762,-591.0509680121645
1.521105527638191,-594.6028264853597,-593.2457659534656
1.521608040201005,-595.5513702393446,-595.4998915305823
1.522110552763819,-596.5028256815827,-597.7594424464033
1.5226130653266332,-597.4571920418846,-600.0244195251322
1.5231155778894472,-598.4144686768448,-602.2948238445382
1.5236180904522614,-599.3746548259465,-604.5706562481768
1.5241206030150751,-600.337749688609,-606.851917499468
1.5246231155778895,-601.3037526175902,-609.1386086685031
1.5251256281407035,-602.2726628935808,-611.4307306812572
1.5256281407035177,-603.2444797257116,-613.7282843205729
1.5261306532663317,-604.2192024313251,-616.0312705857154
1.5266331658291457,-605.1968302423146,-618.3396903050541
1.5271356783919598,-606.1773624139219,-620.6535443536585
1.5276381909547738,-607.160798304687,-622.9728338131863
1.528140703517588,-608.1471371469363,-625.2975595128834
1.528643216080402,-609.1363781470196,-627.6277222300262
1.5291457286432162,-610.1261536094622,-629.9585889382481
1.5296482412060302,-610.9308305364647,-631.9188960065364
1.5301507537688444,-611.0581845507713,-632.5241970449605
1.5306532663316583,-610.3513284525878,-631.4607200185126
1.5311557788944723,-609.2726856529932,-629.6533141139421
1.5316582914572865,-608.1626963008595,-627.7828619935718
1.5321608040201005,-607.0514468896716,-625.9095390089531
1.5326633165829149,-605.9389338975905,-624.0333404809929
1.5331658291457286,-604.8251539160849,-622.1542619572105
1.5336683417085428,-603.7101035326302,-620.2722989771405
1.5341708542713568,-602.593779203558,-618.3874468180339
1.534673366834171,-601.4761775120375,-616.4997010108048
1.535175879396985,-600.3572950599968,-614.6090571238952
1.535678391959799,-599.2371282769953,-612.7155103810107
1.5361809045226131,-598.115673769708,-610.8190563600776
1.536683417085427,-596.9929281633969,-608.9196906762083
1.5371859296482413,-595.8688878882447,-607.0174085543508
1.5376884422110553,-594.7435495201004,-605.1122055107837
1.5381909547738697,-593.6169096121785,-603.204077016526
1.5386934673366834,-592.4889647000025,-601.2930185071996
1.5391959798994974,-591.3628121714022,-599.3852271230542
1.5396984924623116,-590.3621788998623,-597.7281589756362
1.5402010050251256,-589.7617031254052,-596.8710929095748
1.5407035175879398,-589.6058244794388,-596.9029105522773
1.5412060301507535,-589.6284090824079,-597.2913465092034
1.541708542713568,-589.6624209755731,-597.7023312274657
1.542211055276382,-589.6973862131887,-598.1149191801572
1.542713567839196,-589.7333027546593,-598.5291086506679
1.54321608040201,-589.770168742716,-598.9448982890425
1.543718592964824,-589.807982210283,-599.3622865257117
1.5442211055276382,-589.84674107618,-599.7812715629016
1.5447236180904522,-589.8864434382679,-600.2018519609123
1.5452261306532664,-589.9270873987838,-600.6240262888048
1.5457286432160804,-589.9686708817271,-601.0477927591619
1.5462311557788946,-590.011191930679,-601.473149823725
1.5467336683417086,-590.0546486258062,-601.9000960074169
1.5472361809045228,-590.0990389694907,-602.3286296795796
1.5477386934673367,-590.1443610335716,-602.7587493484783
1.5482412060301507,-590.1906128210417,-603.1904533846729
1.548743718592965,-590.2377923303433,-603.6237401496445
1.5492462311557789,-590.280976551311,-604.0487659876379
1.549748743718593,-590.2019716275403,-604.2291455504279
1.550251256281407,-589.7787941011607,-603.7209142868569
1.5507537688442212,-589.0106178949513,-602.5224224070672
1.5512562814070352,-588.1184988907105,-601.0757840392357
1.5517587939698494,-587.2205300642362,-599.6171874995468
1.5522613065326634,-586.3216325258796,-598.1564773732836
1.5527638190954771,-585.4218031067085,-596.6936496871677
1.5532663316582915,-584.5210386380822,-595.2287004684949
1.5537688442211055,-583.6193359933491,-593.7616258285515
1.5542713567839197,-582.7166920043388,-592.2924217955746
1.5547738693467337,-581.8131034985729,-590.8210843891906
1.555276381909548,-580.9085673083415,-589.3476096385688
1.5557788944723618,-580.0030802799814,-587.8719936009609
1.556281407035176,-579.0966392741082,-586.3942323621791
1.55678391959799,-578.1892411005613,-584.914321906494
1.557286432160804,-577.2808825923594,-583.4322582645218
1.5577889447236182,-576.3715606524945,-581.9480376068274
1.558291457286432,-575.4612720915268,-580.4616559191096
1.5587939698492463,-574.5500136828175,-578.973109112692
1.5592964824120603,-573.6570570170942,-577.5209427335938
1.5597989949748745,-573.0903158723521,-576.7209867023973
1.5603015075376885,-573.3422252368354,-577.558113360177
1.560804020100503,-574.3346526598372,-579.8760601700964
1.5613065326633166,-575.5636697676094,-582.6669727492415
1.5618090452261306,-576.8015600297779,-585.4754204014575
1.5623115577889448,-578.0426082717365,-588.2899751421041
1.5628140703517588,-579.2868139916567,-591.1106383321137
1.563316582914573,-580.534176683352,-593.9374113236925
1.563819095477387,-581.7846959155636,-596.7702956189105
1.5643216080402012,-583.0383711450735,-599.609292495911
1.5648241206030151,-584.2952018663045,-602.4544033081276
1.565326633165829,-585.5551876393619,-605.3056295403474
1.5658291457286433,-586.8183279216037,-608.1629724718732
1.5663316582914573,-588.0846222314798,-611.0264335041909
1.5668341708542717,-589.3540701110555,-613.8960140860098
1.5673366834170854,-590.6266710135609,-616.7717154883765
1.5678391959798996,-591.9024244862975,-619.6535391704725
1.5683417085427136,-593.1813300297732,-622.5414864979006
1.5688442211055278,-594.4633871353194,-625.4355588179068
1.5693467336683418,-595.7188732775779,-628.2763134443546
1.569849246231156,-596.6109542991779,-630.39008442709
1.57035175879397,-596.6801654977949,-630.8579447260463
1.570854271356784,-596.077987499287,-629.9828579575192
1.571356783919598,-595.2892647921483,-628.7345154630933
1.571859296482412,-594.4973479907742,-627.479620836119
1.5723618090452265,-593.7045752531742,-626.2228527572191
1.5728643216080402,-592.9109434823293,-624.9642073969333
1.5733668341708544,-592.1164495861174,-623.7036809355973
1.5738693467336684,-591.3210906184999,-622.4412698457189
1.5743718592964826,-590.5248634452412,-621.1769702234093
1.5748743718592966,-589.7277650075778,-619.9107783157274
1.5753768844221103,-588.9297923604229,-618.6426905970787
1.5758793969849247,-588.1309423608482,-617.3727031461914
1.5763819095477387,-587.331211945809,-616.1008122015652
1.576884422110553,-586.5305981471731,-614.8270141915077
1.5773869346733669,-585.7290978554963,-613.5513052617239
1.577889447236181,-584.92670801828,-612.2736816717918
1.578391959798995,-584.123425639472,-610.9941397941967
1.578894472361809,-583.3192476242167,-609.7126758038032
1.5793969849246232,-582.5669828280397,-608.5349097762555
1.5798994974874372,-582.3101360880212,-608.3478537502892
1.5804020100502514,-583.062811411134,-610.1797181044401
1.5809045226130654,-584.5596252760702,-613.4997381606672
1.5814070351758795,-586.2368471645177,-617.1804552469366
