wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5002002002002000,-668.307271784229,-554.0855613683250,-725.4181270463690,-496.9747062145610
1.5003003003003000,-667.7094467237780,-554.5336317460200,-724.2973542668270,-497.94572431131000
1.5004004004004000,-667.1114301129210,-554.9819330029550,-723.1761786136970,-498.91718439376600
1.5005005005005000,-666.5132222850660,-555.4304652018180,-722.0546007724830,-499.8890866059880
1.5006006006006000,-665.9148235194620,-555.8792280260800,-720.9326213203780,-500.8614303336130
1.5007007007007000,-665.316233390919,-556.3282213213440,-719.8102394256890,-501.8342152865380
1.5008008008008000,-664.717452287538,-556.7774449333230,-718.6874558833090,-502.80744117487900
1.500900900900900,-664.1184800008240,-557.22689952108,-717.5642702949380,-503.78110933545100
1.501001001001000,-663.5193163768000,-557.67658455051,-716.440682371317,-504.7552187187380
1.501101101101100,-662.9199610437540,-558.1265002473990,-715.3166913877070,-505.7297697949970
1.5012012012012000,-662.3204141728320,-558.5766469997490,-714.1922977050940,-506.70476335892900
1.5013013013013000,-661.7206764783580,-559.0270240018950,-713.0675027708140,-507.6801978178880
1.5014014014014000,-661.1207471549530,-559.4776315877870,-711.9423049927970,-508.65607385846400
1.5015015015015000,-660.520625613006,-559.9284703095050,-710.8167032105140,-509.6323926035120
1.5016016016016000,-659.9203125132510,-560.3795399029480,-709.6906987641230,-510.6091535435190
1.5017017017017000,-659.3198084075310,-560.8308397248580,-708.5642927759990,-511.5863554106510
1.5018018018018000,-658.719112706182,-561.2823699475660,-707.4374840855080,-512.5639985682760
1.501901901901900,-658.1182246575200,-561.7341315023140,-706.3102712079750,-513.5420848975620
1.502002002002000,-657.5171453030210,-562.186123527553,-705.1826562450340,-514.5206126940980
1.5021021021021000,-656.9158742164280,-562.6383460321830,-704.0546383628650,-515.4995819943760
1.5022022022022000,-656.3144103723720,-563.0907999496400,-702.9262155294230,-516.4789946839590
1.5023023023023000,-655.7127549758990,-563.5434844720320,-701.7973901734810,-517.458849165747
1.5024024024024000,-655.1109079815360,-563.9963995533510,-700.6681622227950,-518.4391453664250
1.5025025025025000,-654.5088688009440,-564.4495453641300,-699.5385305193690,-519.4198836457420
1.5026026026026000,-653.9066371142820,-564.9029224040430,-698.408494442217,-520.401065021739
1.5027027027027000,-653.304213473707,-565.3565303011360,-697.2780551143440,-521.3826887692020
1.5028028028028000,-652.7015984896890,-565.8103680270590,-696.1472137753730,-522.3647528501150
1.5029029029029000,-652.0987906446550,-566.2644370618820,-695.015967408856,-523.3472602433110
1.503003003003000,-651.4957901101000,-566.7187374685420,-693.8843163764740,-524.3302110933560
1.503103103103100,-650.8925979303880,-567.1732682198980,-692.7522627856320,-525.3136033646530
