wavl,"AS(5.00,0.00)","S(5.00,0.00)","AS( double 5.00,0.00)","S( double 5.00,0.00)"
1.406060606060606,-692.9678566745079,-692.9678566745079,-692.9678566745079,-692.9678566745079
1.409090909090909,-689.9041713904408,-689.9041713904408,-689.9041713904408,-689.9041713904408
1.412121212121212,-686.8742138483485,-686.8742138483485,-686.8742138483485,-686.8742138483485
1.415151515151515,-683.8774655204725,-683.8774655204725,-683.8774655204725,-683.8774655204725
1.418181818181818,-680.9134078790485,-680.9134078790485,-680.9134078790485,-680.9134078790485
1.4212121212121211,-677.9815223963142,-677.9815223963142,-677.9815223963142,-677.9815223963142
1.424242424242424,-675.0812905445109,-675.0812905445109,-675.0812905445109,-675.0812905445109
1.4272727272727272,-672.2121937958746,-672.2121937958746,-672.2121937958746,-672.2121937958746
1.4303030303030302,-669.3737136226446,-669.3737136226446,-669.3737136226446,-669.3737136226446
1.4333333333333331,-666.5653314970568,-666.5653314970568,-666.5653314970568,-666.5653314970568
1.4363636363636365,-663.7865288913545,-663.7865288913545,-663.7865288913545,-663.7865288913545
1.4393939393939392,-661.0367872777679,-661.0367872777679,-661.0367872777679,-661.0367872777679
1.4424242424242424,-658.3155881285365,-658.3155881285365,-658.3155881285365,-658.3155881285365
1.445454545454545,-655.6224129159054,-655.6224129159054,-655.6224129159054,-655.6224129159054
1.4484848484848485,-652.9567431121031,-652.9567431121031,-652.9567431121031,-652.9567431121031
1.4515151515151514,-650.3180601893782,-650.3180601893782,-650.3180601893782,-650.3180601893782
1.4545454545454544,-647.7058456199647,-647.7058456199647,-647.7058456199647,-647.7058456199647
1.4575757575757575,-645.1195808760967,-645.1195808760967,-645.1195808760967,-645.1195808760967
1.4606060606060605,-642.5587474300173,-642.5587474300173,-642.5587474300173,-642.5587474300173
1.4636363636363636,-640.0228267539624,-640.0228267539624,-640.0228267539624,-640.0228267539624
1.4666666666666666,-637.5113003201714,-637.5113003201714,-637.5113003201714,-637.5113003201714
1.4696969696969695,-635.0236496008802,-635.0236496008802,-635.0236496008802,-635.0236496008802
1.4727272727272729,-632.5593560683246,-632.5593560683246,-632.5593560683246,-632.5593560683246
1.4757575757575756,-630.1179011947479,-630.1179011947479,-630.1179011947479,-630.1179011947479
1.4787878787878788,-627.6987664523895,-627.6987664523895,-627.6987664523895,-627.6987664523895
1.4818181818181817,-625.3014333134779,-625.3014333134779,-625.3014333134779,-625.3014333134779
1.4848484848484849,-622.9253832502636,-622.9253832502636,-622.9253832502636,-622.9253832502636
1.4878787878787878,-620.5700977349807,-620.5700977349807,-620.5700977349807,-620.5700977349807
1.4909090909090907,-618.2350582398612,-618.2350582398612,-618.2350582398612,-618.2350582398612
1.493939393939394,-615.9197462371503,-615.9197462371503,-615.9197462371503,-615.9197462371503
1.4969696969696968,-613.6236431990837,-613.6236431990837,-613.6236431990837,-613.6236431990837
1.5,-611.3462305978992,-611.3462305978992,-611.3462305978992,-611.3462305978992
1.503030303030303,-609.0869899058343,-609.0869899058343,-609.0869899058343,-609.0869899058343
1.506060606060606,-606.8454025951287,-606.8454025951287,-606.8454025951287,-606.8454025951287
1.509090909090909,-604.6209501380145,-604.6209501380145,-604.6209501380145,-604.6209501380145
1.512121212121212,-602.4131140067384,-602.4131140067384,-602.4131140067384,-602.4131140067384
1.5151515151515151,-600.2213756735346,-600.2213756735346,-600.2213756735346,-600.2213756735346
1.518181818181818,-598.0452166106425,-598.0452166106425,-598.0452166106425,-598.0452166106425
1.5212121212121212,-595.8841182903016,-595.8841182903016,-595.8841182903016,-595.8841182903016
1.5242424242424242,-593.7375621847459,-593.7375621847459,-593.7375621847459,-593.7375621847459
1.5272727272727271,-591.605029766215,-591.605029766215,-591.605029766215,-591.605029766215
1.5303030303030305,-589.4860025069484,-589.4860025069484,-589.4860025069484,-589.4860025069484
1.5333333333333332,-587.3799618791836,-587.3799618791836,-587.3799618791836,-587.3799618791836
1.5363636363636364,-585.2863893551548,-585.2863893551548,-585.2863893551548,-585.2863893551548
1.539393939393939,-583.204766407107,-583.204766407107,-583.204766407107,-583.204766407107
1.5424242424242425,-581.1345745072722,-581.1345745072722,-581.1345745072722,-581.1345745072722
1.5454545454545454,-579.0752951278973,-579.0752951278973,-579.0752951278973,-579.0752951278973
1.5484848484848484,-577.026409741211,-577.026409741211,-577.026409741211,-577.026409741211
1.5515151515151515,-574.9873998194544,-574.9873998194544,-574.9873998194544,-574.9873998194544
1.5545454545454545,-572.9577468348689,-572.9577468348689,-572.9577468348689,-572.9577468348689
1.5575757575757576,-570.9369322596885,-570.9369322596885,-570.9369322596885,-570.9369322596885
1.5606060606060606,-568.9244375661547,-568.9244375661547,-568.9244375661547,-568.9244375661547
1.5636363636363635,-566.9197442265013,-566.9197442265013,-566.9197442265013,-566.9197442265013
1.5666666666666669,-564.9223337129642,-564.9223337129642,-564.9223337129642,-564.9223337129642
1.5696969696969696,-562.931687497794,-562.931687497794,-562.931687497794,-562.931687497794
1.5727272727272728,-560.9472870532136,-560.9472870532136,-560.9472870532136,-560.9472870532136
1.5757575757575757,-558.9686138514717,-558.9686138514717,-558.9686138514717,-558.9686138514717
1.5787878787878786,-556.9951493648059,-556.9951493648059,-556.9951493648059,-556.9951493648059
1.5818181818181818,-555.0263750654522,-555.0263750654522,-555.0263750654522,-555.0263750654522
1.5848484848484847,-553.0617724256426,-553.0617724256426,-553.0617724256426,-553.0617724256426
1.587878787878788,-551.1008229176277,-551.1008229176277,-551.1008229176277,-551.1008229176277
1.5909090909090908,-549.1430080136342,-549.1430080136342,-549.1430080136342,-549.1430080136342
1.5939393939393938,-547.1878091859071,-547.1878091859071,-547.1878091859071,-547.1878091859071
1.596969696969697,-545.2347079066803,-545.2347079066803,-545.2347079066803,-545.2347079066803
1.6,-543.2831856481916,-543.2831856481916,-543.2831856481916,-543.2831856481916
1.603030303030303,-541.3327238826841,-541.3327238826841,-541.3327238826841,-541.3327238826841
1.606060606060606,-539.3828040823937,-539.3828040823937,-539.3828040823937,-539.3828040823937
1.6090909090909091,-537.4329077195525,-537.4329077195525,-537.4329077195525,-537.4329077195525
1.612121212121212,-535.4825162664092,-535.4825162664092,-535.4825162664092,-535.4825162664092
1.615151515151515,-533.531111195196,-533.531111195196,-533.531111195196,-533.531111195196
1.6181818181818182,-531.5781739781523,-531.5781739781523,-531.5781739781523,-531.5781739781523
1.621212121212121,-529.6231860875159,-529.6231860875159,-529.6231860875159,-529.6231860875159
1.6242424242424245,-527.6656289955245,-527.6656289955245,-527.6656289955245,-527.6656289955245
1.6272727272727272,-525.7049841744156,-525.7049841744156,-525.7049841744156,-525.7049841744156
1.6303030303030304,-523.740733096427,-523.740733096427,-523.740733096427,-523.740733096427
1.6333333333333333,-521.7723572337982,-521.7723572337982,-521.7723572337982,-521.7723572337982
1.6363636363636362,-519.7993380587686,-519.7993380587686,-519.7993380587686,-519.7993380587686
1.6393939393939394,-517.8211570435724,-517.8211570435724,-517.8211570435724,-517.8211570435724
1.6424242424242423,-515.8372956604508,-515.8372956604508,-515.8372956604508,-515.8372956604508
1.6454545454545455,-513.8472353816433,-513.8472353816433,-513.8472353816433,-513.8472353816433
1.6484848484848484,-511.8504576793876,-511.8504576793876,-511.8504576793876,-511.85045767938755
1.6515151515151514,-509.84644402591766,-509.84644402591766,-509.84644402591766,-509.84644402591766
1.6545454545454543,-507.8346758934749,-507.8346758934749,-507.8346758934749,-507.8346758934749
1.6575757575757577,-505.8146347542988,-505.8146347542988,-505.8146347542988,-505.8146347542988
1.6606060606060606,-503.78580208061976,-503.78580208061976,-503.78580208061976,-503.78580208061976
1.6636363636363636,-501.7476593446845,-501.7476593446845,-501.7476593446845,-501.7476593446845
1.6666666666666663,-499.69968801873074,-499.69968801873074,-499.69968801873074,-499.69968801873074
1.6696969696969697,-497.64136957498886,-497.64136957498886,-497.64136957498886,-497.64136957498886
1.6727272727272726,-495.5721854857038,-495.5721854857038,-495.5721854857038,-495.5721854857038
1.6757575757575758,-493.4916172231151,-493.4916172231151,-493.4916172231151,-493.4916172231151
1.6787878787878787,-491.3991462594549,-491.3991462594549,-491.3991462594549,-491.39914625945494
1.6818181818181817,-489.29425406696646,-489.29425406696646,-489.29425406696646,-489.29425406696646
1.6848484848484848,-487.17642211788734,-487.17642211788734,-487.17642211788734,-487.17642211788734
1.6878787878787878,-485.04513188445344,-485.04513188445344,-485.04513188445344,-485.04513188445344
1.690909090909091,-482.899864838897,-482.899864838897,-482.899864838897,-482.899864838897
1.693939393939394,-480.7401024534684,-480.7401024534684,-480.7401024534684,-480.74010245346835
