wavelength,modeidx,neff,ng,loss,polarization,beta_ang
Bending Radius = 0.001006,gap_x = 4e-06
1540,1,1.479985326309655+0.000000000000000i,1.601536609394906+0.000000000000000i,0,0.9996868481785315,6074.555967177187
1540,2,1.479932905424498+0.000000000000000i,1.593293103682143+0.000000000000000i,0,0.9999640667530357,6074.340807205616
1541,1,1.479906473980729+0.000000000000000i,1.601296639199817+0.000000000000000i,0,0.9996879242945526,6070.290573001663
1541,2,1.479859336453664+0.000000000000000i,1.593159818429433+0.000000000000000i,0,0.9999627278902459,6070.097223968320
1542,1,1.479827782028460+0.000000000000000i,1.601040356255497+0.000000000000000i,0,0.9996895382352915,6066.031368521762
1542,2,1.479785848722000+0.000000000000000i,1.593043182246225+0.000000000000000i,0,0.9999608526666719,6065.859477741325
1543,1,1.479749263614458+0.000000000000000i,1.600758294962329+0.000000000000000i,0,0.9996920035828923,6061.778395619501
1543,2,1.479712428533726+0.000000000000000i,1.592952527874255+0.000000000000000i,0,0.9999581279078960,6061.627501071301
1544,1,1.479670940051753+0.000000000000000i,1.600433754387156+0.000000000000000i,0,0.9996958778605969,6057.531729438952
1544,2,1.479639054042905+0.000000000000000i,1.592904335345864+0.000000000000000i,0,0.9999539967565492,6057.401193314270
1545,1,1.479592847378555+0.000000000000000i,1.600036012030266+0.000000000000000i,0,0.9997021954081178,6053.291505173131
1545,2,1.479565688680099+0.000000000000000i,1.592928958910513+0.000000000000000i,0,0.9999474259543941,6053.180393850209
1546,1,1.479515049169157+0.000000000000000i,1.599507156541287+0.000000000000000i,0,0.9997129257139032,6049.057970247653
1546,2,1.479492268341071+0.000000000000000i,1.593083736500907+0.000000000000000i,0,0.9999364476217458,6048.964829897523
1547,1,1.479437660319090+0.000000000000000i,1.598742113824813+0.000000000000000i,0,0.9997316916435786,6044.831581141743
1547,2,1.479418677601623+0.000000000000000i,1.593473115303141+0.000000000000000i,0,0.9999174404155121,6044.754019691799
1548,1,1.479360879856005+0.000000000000000i,1.597592354900836+0.000000000000000i,0,0.9997637479913676,6040.613136688295
1548,2,1.479344716907175+0.000000000000000i,1.594246128302889+0.000000000000000i,0,0.9998851472058466,6040.547139187374
1549,1,1.479284982703974+0.000000000000000i,1.596019092261729+0.000000000000000i,0,0.9998108598067197,6036.403743362015
1549,2,1.479270110808092+0.000000000000000i,1.595445858891541+0.000000000000000i,0,0.9998377892931173,6036.343056767460
1550,1,1.479210154253782+0.000000000000000i,1.594365926643135+0.000000000000000i,0,0.9998616226193811,6032.204139666351
1550,2,1.479194673389108+0.000000000000000i,1.596734054162642+0.000000000000000i,0,0.9997867563769475,6032.141008855829
1551,1,1.479136290470039+0.000000000000000i,1.593079530897329+0.000000000000000i,0,0.9999004234048109,6028.013882684108
1551,2,1.479118508162808+0.000000000000000i,1.597661251518348+0.000000000000000i,0,0.9997476720728724,6027.941413368370
1552,1,1.479063113734403+0.000000000000000i,1.592224196714463+0.000000000000000i,0,0.9999245443022080,6023.831823682303
1552,2,1.479041892226419+0.000000000000000i,1.598157539505023+0.000000000000000i,0,0.9997232712062294,6023.745394108099
1553,1,1.478990389502020+0.000000000000000i,1.591655171931063+0.000000000000000i,0,0.9999387369287955,6019.656992200631
1553,2,1.478965059604830+0.000000000000000i,1.598365980235196+0.000000000000000i,0,0.9997088063878866,6019.553896674240
1554,1,1.478917975905118+0.000000000000000i,1.591247328757408+0.000000000000000i,0,0.9999472736692695,6015.488797240150
1554,2,1.478888151646791+0.000000000000000i,1.598412070650764+0.000000000000000i,0,0.9997000035958739,6015.367487272478
1555,1,1.478845794097599+0.000000000000000i,1.590928833465362+0.000000000000000i,0,0.9999526474010678,6011.326905497563
1555,2,1.478811246681830+0.000000000000000i,1.598368242944746+0.000000000000000i,0,0.9996943679435690,6011.186474486601
1556,1,1.478773799727181+0.000000000000000i,1.590661622981180+0.000000000000000i,0,0.9999561934772933,6007.171124649407
1556,2,1.478734388546078+0.000000000000000i,1.598272983210673+0.000000000000000i,0,0.9996905627365086,6007.011025985806
1557,1,1.478701966759092+0.000000000000000i,1.590673790212682+0.000000000000000i,0,0.9999586343937537,6003.021337229102
1557,2,1.478657602760054+0.000000000000000i,1.598372526053636+0.000000000000000i,0,0.9996878646784289,6002.841234653457
1558,1,1.478629960306993+0.000000000000000i,1.590704283702471+0.000000000000000i,0,0.9999603659468980,5998.876173045294
1558,2,1.478580615923235+0.000000000000000i,1.598450441592427+0.000000000000000i,0,0.9996858790463103,5998.675980396732
1559,1,1.478558089668424+0.000000000000000i,1.590498903085243+0.000000000000000i,0,0.9999616416489405,5994.736877232238
1559,2,1.478503728283385+0.000000000000000i,1.598290542327354+0.000000000000000i,0,0.9996843504969759,5994.516471823839
1560,1,1.478486347972140+0.000000000000000i,1.590302198713556+0.000000000000000i,0,0.9999626053928369,5990.603410663346
1560,2,1.478426946193606+0.000000000000000i,1.598122403945466+0.000000000000000i,0,0.9996831349638180,5990.362723627193
