wavelength,modeidx,neff,ng,loss,polarization,beta_ang
Bending Radius = 0.001006500000000000,gap_x = 5.000000000000000e-06
1540,1,1.479087467516990+2.964938715224119e-13i,1.600373253322233-1.876417389619858e-11i,1.050725265881038e-05,0.9996406767448311,6073.888063715454
1540,2,1.479031381806904+4.103691615307981e-15i,1.591888751965771-2.768478230509262e-13i,1.454280468411750e-07,0.9999685488441090,6073.657747163850
1541,1,1.479008777427688+3.091735407418833e-13i,1.600169700809586-1.944608068161030e-11i,1.094948911672376e-05,0.9996405406531281,6069.623608014402
1541,2,1.478958152004347+4.288814292548600e-15i,1.591717046210710-2.557528015572091e-13i,1.518898587092079e-07,0.9999684260640699,6069.415849095479
1542,1,1.478930219620420+3.222968083640407e-13i,1.599965445243248-2.021841576964549e-11i,1.140685199093625e-05,0.9996404417073688,6065.365225897284
1542,2,1.478885033223145+4.544295930958757e-15i,1.591546609633507-3.457229301700384e-13i,1.608334607797620e-07,0.9999682670160872,6065.179908159448
1543,1,1.478851794624333+3.359422571557443e-13i,1.599759920118324-2.089466960320290e-11i,1.188209130057168e-05,0.9996404012088755,6061.112907724167
1543,2,1.478812024398379+4.906480623404905e-15i,1.591377997534107-3.978418369429492e-13i,1.735394982023805e-07,0.9999680504210890,6060.949908408920
1544,1,1.478773503464029+3.500255127265919e-13i,1.599552089999621-2.154409660186007e-11i,1.237218996905514e-05,0.9996404583792730,6056.866645909417
1544,2,1.478739123970999+5.275184897957898e-15i,1.591212225811088-5.705196215025698e-13i,1.864595216817964e-07,0.9999677370965605,6056.725831914478
1545,1,1.478695348110411+3.645053282327799e-13i,1.599339897040923-2.198912849935655e-11i,1.287566215379065e-05,0.9996406917339579,6052.626436760461
1545,2,1.478666329437308+5.875258621308963e-15i,1.591051314681133-8.845287448550763e-13i,2.075356358736405e-07,0.9999672486021917,6052.507656926462
1546,1,1.478617332529005+3.792554416043895e-13i,1.599118772207305-2.202701555820711e-11i,1.338802475008730e-05,0.9996412768569563,6048.392284753419
1546,2,1.478593636300205+6.906733952701565e-15i,1.590899751346822-1.732073022990522e-12i,2.438133114448281e-07,0.9999664095151762,6048.295353597332
1547,1,1.478539465497485+3.936720987953286e-13i,1.598876887164408-2.050045684592945e-11i,1.388796128671327e-05,0.9996426716184572,6044.164214024563
1547,2,1.478521035251832+8.798488958217679e-15i,1.590769156100640-3.773387217264192e-12i,3.103930260925853e-07,0.9999647623673003,6044.088872490683
1548,1,1.478461769907573+4.059408438457413e-13i,1.598575848606847-1.323106062011295e-11i,1.431152683208612e-05,0.9996463735550792,6039.942306307753
1548,2,1.478448502871978+1.358150124492600e-14i,1.590697265268122-1.079489459848352e-11i,4.788185826421334e-07,0.9999608108594984,6039.888106644836
1549,1,1.478384324803528+4.070514748419463e-13i,1.598037874560337+2.402633329126774e-11i,1.434141787142153e-05,0.9996593771618395,6035.726872376982
1549,2,1.478375959589221+3.011827249101988e-14i,1.590859044163080-4.937579627305205e-11i,1.061140317761465e-06,0.9999475656244181,6035.692720128516
1550,1,1.478307559275123+3.288695085123851e-13i,1.595998721701479+3.111714296428104e-10i,1.157940079777771e-05,0.9997320703934032,6031.519650395814
1550,2,1.478302975787758+1.268229624563527e-13i,1.592506307873295-3.199124418547992e-10i,4.465400028377271e-06,0.9998746596616720,6031.500949690448
1551,1,1.478233184093591+9.826287164811395e-14i,1.591488473278304+2.241406165809568e-10i,3.457576751445069e-06,0.9999061449136680,6027.327599955436
1551,2,1.478227840172018+3.764789338848236e-13i,1.596655159902634-2.348599329766838e-10i,1.324716841036852e-05,0.9997003160862741,6027.305810723306
1552,1,1.478160673520234+3.391611222999843e-14i,1.590205944057887+4.103850010977739e-11i,1.192637668578761e-06,0.9999515816026570,6023.148549470906
1552,2,1.478151077957979+4.608486711644749e-13i,1.597584721213982-6.848829093115004e-11i,1.620543890815062e-05,0.9996546019010280,6023.109449866980
1553,1,1.478088621230156+1.969905762215710e-14i,1.589804005091605+1.207565379381239e-11i,6.922582978142702e-07,0.9999611491441232,6018.976747084481
1553,2,1.478074094949037+4.957166676033016e-13i,1.597622424443001-4.362379398170174e-11i,1.742032451985115e-05,0.9996447788422150,6018.917594103380
1554,1,1.478016767416122+1.487971661233425e-14i,1.589555994251433+5.408220018643749e-12i,5.225619947937317e-07,0.9999643800457744,6014.811121514289
1554,2,1.477997150431923+5.221750576353750e-13i,1.597504141812953-3.771978675021330e-11i,1.833830891129231e-05,0.9996412977063497,6014.731289906603
1555,1,1.477945057108189+1.274737225909540e-14i,1.589351317235342+2.643234045186076e-12i,4.473881230592726e-07,0.9999658183614605,6010.651437286517
1555,2,1.477920298858369+5.467184190918943e-13i,1.597342316671647-3.688236398368542e-11i,1.918790181913246e-05,0.9996396112648017,6010.550748015863
1556,1,1.477873472496888+1.169421776019263e-14i,1.589163240593782+1.323658354291161e-12i,4.101623184751702e-07,0.9999665712957169,6006.497610563386
1556,2,1.477843557520208+5.711480325353788e-13i,1.597164157323663-3.737891246597930e-11i,2.003241311399901e-05,0.9996386115247031,6006.376027600235
1557,1,1.477802006069208+1.114044554827397e-14i,1.589231191943924+7.141786420836838e-13i,3.904883873430342e-07,0.9999670077739439,6002.349599543364
1557,2,1.477766933414643+5.959177466000382e-13i,1.597198268459213-3.834283917434168e-11i,2.088776062416972e-05,0.9996379293015962,6002.207145863362
1558,1,1.477730335658563+1.091875663759251e-14i,1.589301696526153+3.088764488582852e-13i,3.824722302871597e-07,0.9999672762812917,5998.206085332371
1558,2,1.477690148362440+6.214388467675801e-13i,1.597226757887010-3.966077139357611e-11i,2.176833036940769e-05,0.9996374178523328,5998.042962414514
1559,1,1.477658778531995+1.088703947719696e-14i,1.589126393739429+6.195109847665919e-14i,3.811165933554888e-07,0.9999674504589845,5994.068346259201
1559,2,1.477613486695783+6.478828766822000e-13i,1.597033715395797-4.108017884719082e-11i,2.268007894815198e-05,0.9996370016489630,5993.884621595750
1560,1,1.477587333322948+1.092973843307164e-14i,1.588952714645516-9.093771161102991e-14i,3.823660685066492e-07,0.9999675663367099,5989.936365677997
1560,2,1.477536949261587+6.751507548576275e-13i,1.596839596470259-4.259717077232855e-11i,2.361948013349274e-05,0.9996366446389978,5989.732115604519
