Bending Radius = 0.001, gap_x = 2e-06, num of cells = 1500X900
wavelength,modeidx,neff,ng,loss,polarization,beta_ang
1400,1,1.491119344198559+5.745262917991600e-14i,1.610725854137091-3.026923731516926e-12i,2.239628820546319e-06,0.9997801442184191,6692.127967656888
1400,2,1.485748993242537+2.886613085495646e-13i,1.635609091402102-1.783669104170696e-11i,1.125264753297342e-05,0.9997466781026705,6668.025888927409
1420,1,1.489439037045210+1.218783824116578e-13i,1.606360144563437-6.237456715034893e-12i,4.684168535407302e-06,0.9997757379429383,6590.437657395896
1420,2,1.483629573178213+6.991764725884899e-13i,1.632161002942099-4.246919388640951e-11i,2.687154496795166e-05,0.9997388423686028,6564.732067246809
1440,1,1.487824988600800+2.501767304772146e-13i,1.601722071216764-1.241491576063117e-11i,9.481533759571528e-06,0.9997714892646472,6491.861186132766
1440,2,1.481564666483284+1.645817994561731e-12i,1.628313319510803-9.811191912656757e-11i,6.237542095853960e-05,0.9997310304036754,6464.545377836244
1460,1,1.486272047537361+4.981969572837915e-13i,1.597688917913283-2.403688285126343e-11i,1.862268898832764e-05,0.9997674041219676,6396.248418875660
1460,2,1.479550230058487+3.773643894970653e-12i,1.625036102090050-2.214640666090455e-10i,0.0001410594657018516,0.9997232655157738,6367.320730642236
1480,1,1.484766351894837+9.640767680787318e-13i,1.594635836062198-4.507768359205268e-11i,3.555036609878072e-05,0.9997634778543651,6303.420355959644
1480,2,1.477573667389175+8.441779335402960e-12i,1.622579118718539-4.862783187306500e-10i,0.0003112909218803917,0.9997155627026583,6272.884565685893
1500,1,1.483310010167398+1.814027785594772e-12i,1.590445767863473-8.232069728341105e-11i,6.600044309006893e-05,0.9997596985997302,6213.274441250798
1500,2,1.475638927290573+1.842764374965015e-11i,1.618905496477476-1.043766871191208e-09i,0.0006704597703745084,0.9997079359623832,6181.141884436250
1520,1,1.481904226836865+3.328779349406726e-12i,1.586827874741340-1.470503749502426e-10i,0.0001195186271444096,0.9997560904623458,6125.709779413628
1520,2,1.473747969586245+3.938041868933680e-11i,1.615758202674620-2.200547007773242e-09i,0.001413939791161117,0.9997004336235061,6091.994466440819
1540,1,1.480531182603394+5.956726743757050e-12i,1.585571850997592-2.550320590535877e-10i,0.0002110965484540111,0.9997526196228091,6040.553099581079
1540,2,1.471885002792610+8.233998666735163e-11i,1.614782575828187-4.520476876980791e-09i,0.002917993007391871,0.9996930510435527,6005.276768444489
1560,1,1.479190975092713+1.040846337773360e-11i,1.582193066325166-4.342647177705121e-10i,0.0003641297772412438,0.9997492838266484,5957.712180266142
1560,2,1.470051598381099+1.686506337167974e-10i,1.611665029754708-9.150218117019268e-09i,0.005900075300093331,0.9996858173462265,5920.901669066658
1580,1,1.477894198838889+1.780998474209147e-11i,1.578496846050690-7.223560514391334e-10i,0.0006151777732757867,0.9997461183699643,5877.141212474970
1580,2,1.468259124698823+3.395193251972894e-10i,1.608055967669046-1.816868569910871e-08i,0.01172739592332962,0.9996788028346419,5838.825417367093
1600,1,1.476643325563727+2.983929474110147e-11i,1.574940359754848-1.177033670137694e-09i,0.001017800704001901,0.9997431015172792,5798.764779454257
1600,2,1.466512187195640+6.715101865787407e-10i,1.604469265696137-3.548058820010441e-08i,0.02290481549829891,0.9996720256548803,5758.979892117152
1620,1,1.475433258556748+4.904378070167382e-11i,1.571920352930463-1.887667308722191e-09i,0.001652201844256014,0.9997402453140257,5722.481834498678
1620,2,1.464806807096855+1.307961463927779e-09i,1.601351536329518-6.853122930058870e-08i,0.04406300476838073,0.9996655378860546,5681.267042103455
1640,1,1.474262653979728+7.914314877377343e-11i,1.568595011600243-2.964875596874944e-09i,0.002633683920866424,0.9997375455671371,5648.210638054275
1640,2,1.463143279961257+2.512482879206856e-09i,1.597742121142423-1.304680251368974e-07i,0.08360907877615370,0.9996593794256315,5605.609974970193
1660,1,1.473131844763540+1.254390087453051e-10i,1.565599759780559-4.582825372235504e-09i,0.004124000418830222,0.9997349884397695,5575.879736479901
1660,2,1.461523812327339+4.769245916329500e-09i,1.594357214744603-2.474110310373461e-07i,0.1567962976842587,0.9996535817759404,5531.942737173635
1680,1,1.472006051831620+1.955525592155175e-10i,1.565074842294156-6.956660428662955e-09i,0.006352554469688299,0.9997325611816864,5505.289760088018
1680,2,1.459914722677724+9.046003046323878e-09i,1.593289532518629-4.842520826582476e-07i,0.2938607774567990,0.9996481721026480,5460.068294799904
1700,1,1.470913098629187+2.999257782458744e-10i,1.563373633515007-1.038727414827459e-08i,0.009628509170500768,0.9997302667306702,5436.482099673472
1700,2,1.458345972779452+1.883149324805374e-08i,1.590881779313103-1.498154435143029e-06i,0.6045469198865133,0.9996432044883289,5390.034111148455
