wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled,
1.535,-0.1746127894912210,0.17461278949031100,6095.165936214810,
1.536,-0.16304724410019800,0.16304724409928900,6090.882371559840,
1.537,-0.15153238962193400,0.15153238962193400,6086.604887136520,
1.538,-0.14006811973467800,0.14006811973558800,6082.333469968050,
1.539,-0.1286543283285940,0.1286543283285940,6078.068107114360,
1.54,-0.11729090948938400,0.11729090949029300,6073.808785671210,
1.541,-0.10597775759197200,0.10597775759197200,6069.555492771780,
1.542,-0.09471476720136710,0.09471476720136710,6065.308215584750,
1.543,-0.083501833209084,0.08350183320999350,6061.066941315400,
1.544,-0.07233885065397770,0.07233885065306820,6056.831657205810,
1.545,-0.061225714855027000,0.061225714855027000,6052.602350532530,
1.546,-0.050162321419520600,0.05016232142043010,6048.37900860962,
1.547,-0.039148566116637100,0.03914856611572760,6044.161618785610,
1.548,-0.028184344968394700,0.028184344968394700,6039.950168445650,
1.549,-0.017269554268750700,0.01726955426784120,6035.744645009210,
1.55,-0.006404090583600920,0.006404090582691420,6031.5450359323300,
1.551,0.004412149356539890,-0.004412149356539890,6027.351328705820,
1.552,0.015179268511929000,-0.015179268511929000,6023.163510855260,
1.553,0.025897369650920200,-0.025897369650920200,6018.981569941610,
1.554,0.03656655526447140,-0.03656655526447140,6014.805493561030,
1.555,0.04718692764890880,-0.047186927647999300,6010.635269343560,
1.556,0.05775858878769210,-0.05775858878860160,6006.470884955140,
1.557,0.06828164046328310,-0.06828164046328310,6002.312328094740,
1.558,0.07868069688629480,-0.07868069688629480,5998.158368754580,
1.559,0.08903127886060250,-0.08903127886060250,5994.010218635380,
1.56,0.09933348799950180,-0.09933348799950180,5989.867865512560,
1.561,0.10958742566072000,-0.10958742566072000,5985.731297194950,
1.562,0.11979319300007800,-0.11979319300007800,5981.600501526080,
1.563,0.1299508908896310,-0.1299508908896310,5977.475466382630,
1.564,0.14006061999407400,-0.14006061999407400,5973.356179675780,
1.565,0.15012248067705500,-0.15012248067796500,5969.242629350450,
