wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled,
1.4,0.0,0.0,6680.783195042730,
1.41,0.0,0.0,6629.230084210140,
1.42,0.0,0.0,6578.474523174220,
1.43,0.0,0.0,6528.49976041806,
1.44,0.0,0.0,6479.288099015960,
1.45,0.0,0.0,6430.82236920855,
1.46,0.0,0.0,6383.076445755630,
1.47,0.0,0.0,6336.038322559720,
1.48,0.0,0.0,6289.663174753950,
1.49,0.0,0.0,6243.971640790010,
1.5,0.0,0.0,6198.948865019410,
1.51,0.0,0.0,6154.574155231570,
1.52,0.0,0.0,6110.833998730960,
1.53,0.0,0.0,6067.717732671600,
1.54,0.0,0.0,6025.148022613010,
1.55,0.0,0.0,5983.180936564260,
1.56,0.0,0.0,5941.800432089540,
1.57,0.0,0.0,5900.990059355120,
1.58,0.0,0.0,5860.746200239800,
1.59,0.0,0.0,5821.05725334523,
1.6,0.0,0.0,5781.911930195730,
1.61,0.0,0.0,5743.298194088780,
1.62,0.0,0.0,5705.197252848980,
1.63,0.0,0.0,5667.608387352900,
1.64,0.0,0.0,5630.521437966010,
1.65,0.0,0.0,5593.926510814600,
1.66,0.0,0.0,5557.813969212830,
1.67,0.0,0.0,5522.113628733510,
1.68,0.0,0.0,5486.875389203160,
1.69,0.0,0.0,5452.099761848660,
1.7,0.0,0.0,5417.747926674850,
