wavelength,beta_1_coupled,beta_2_coupled
1.5,-0.022363716685596925,0.02236371668559693
1.51,0.024134628515371074,-0.02413462851537107
1.52,0.026002341718690286,-0.02600234171869028
1.53,0.027967674447052532,-0.027967674447052532
1.54,0.030034083110447866,-0.030034083110447873
1.55,0.0322016134276161,-0.032201613427616085
1.56,0.0344725455578359,-0.034472545557835896
1.57,0.036849388284347355,-0.03684938828434737
1.58,0.03933108427138235,-0.039331084271382356
1.59,0.04191840157980863,-0.04191840157980863
1.6,0.044611891063760664,-0.044611891063760664
