wavelength(nm),Kappa_12,Kappa_21
1480.0,439.774687+0.005324j,435.281681+0.005306j
1490.0,469.576581+0.006632j,464.828161+0.006610j
1500.0,500.728045+0.008222j,495.716189+0.008194j
1510.0,533.296631+0.010147j,528.013009+0.010114j
1520.0,567.304334+0.012469j,561.740723+0.012429j
1530.0,602.712651+0.015253j,596.861453+0.015204j
1540.0,639.452446+0.018567j,633.306934+0.018508j
1550.0,677.609340+0.022504j,671.162322+0.022433j
1560.0,717.227700+0.027165j,710.471901+0.027081j
1570.0,758.368410+0.032668j,751.296352+0.032568j
1580.0,800.944828+0.039126j,793.550029+0.039007j
1590.0,844.954460+0.046673j,837.230731+0.046533j
1600.0,890.391940+0.055459j,882.333405+0.055294j
1610.0,937.264960+0.065650j,928.865954+0.065458j
1620.0,985.695629+0.077458j,976.949833+0.077233j
